crop,botanical,variety,supplier,last_order,stock_quantity,season,water,plant_window,method,transplant_after,mature_after,rows/pattern,count_ft,count_sq_ft,lo_yield,hi_yield,notes,url,web_soil_temp,web_planting_depth,sdsc_days_to_germ,web_days_to_maturity,sdsc_succession,web_best_planting_method,web_thin_to,web_final_spacing,sdsc_area_to_sow,sdsc_plant_height,sdsc_plant_spread,packet_type,web_seeds_per_packet,notes,js_growing_notes,scrape_status,scrape_date
Tomatoes,Solanum lycopersicum,Hillbilly (indet.),SDSC,12/19/2025,1 packet,warm,medium-high,,transplant,50,85,1,0.5,,5,15,"organic, indeterminate beefsteak, 1-2 lb fruits",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-hillbilly-tomato-seeds/,65° F+,"1/4""",3-10+,85+,N/A,Transplant,"≥2"" apart","≥24"" apart",50' row,"36-90""","24-36""",single,60,habit: train with trellis,N/A,success,2025-12-24 11:21:37
Tomatoes,Solanum lycopersicum,Dirty Girl (indet.),SDSC,12/19/2025,1 packet,warm,medium-high,,transplant,50,80,1,0.5,,5,15,"indeterminate, drought-tolerant",https://sandiegoseedcompany.com/product/vegetables/tomatoes/dirty-girl-tomato-seeds/,70° F+,"1/4""",3-10+,80+,N/A,Transplant,"≥2"" apart","≥24"" apart",100' row,"36-90""","24-36""",single,60,habit: train with trellis,N/A,success,2025-12-24 11:21:38
Tomatoes,Solanum lycopersicum,Dixie Giant (indet.),SDSC,12/19/2025,1 packet,warm,medium-high,,transplant,50,80,1,0.5,,5,15,"indeterminate beefsteak, 1-2 lb yellow fruits",https://sandiegoseedcompany.com/product/vegetables/tomatoes/dixie-giant-tomato-seeds/,70° F+,"1/4""",3-10+,80+,N/A,Transplant,"≥2"" apart","≥24"" apart",100' row,"36-90""","24-36""",single,60,habit: train with trellis,N/A,success,2025-12-24 11:21:33
Tomatoes,Solanum lycopersicum,Jolene F1,JS,12/21/2025,1 packet,warm,medium-high,,transplant,50,80,1,0.5,,5,15,beefsteak,https://www.johnnyseeds.com/vegetables/tomatoes/beefsteak-tomatoes/jolene-f1-tomato-seed-4778.html,75–85°F (24–29°C),"1/4""",N/A,79 days,N/A,Transplant,,"12–24""",N/A,N/A,N/A,single,15,,"Smooth, deep red beefsteak sets fruit in heat when other tomatoes will not. Round, clean, 8–10 oz. lightly ribbed fruits for mature-green and vine-ripe markets. Improved plant health, production, and fruit quality over Grand Marshall. Strong TYLCV resistance for growers in the Deep South. Determinate. Disease Resistance: Fusarium Crown and Root Rot (High); Fusarium Wilt races 1–2 (High); Tomato Yellow Leaf Curl Virus (High); Verticillium Wilt (High). Culture: Medium-rich soil with pH 6.0–6.8 preferred; fertilize accurately. Tomatoes typically germinate in 5–7 days. Transplanting: sow 1/4"" deep in 20-row flats with 20 seeds/row or in 200-cell trays with 1 seed/cell; keep mix at 75–85°F (24–29°C) with moderate moisture. At first true leaf, pot-up to 50-cell trays or 4"" pots; grow at constant 60–70°F (16–21°C) until hardened off. Avoid exposing unprotected plants to consecutive nightly temperatures below 45°F (7°C). In rows 4–6' apart, space determinates 12–24"". Plant deeply to encourage adventitious rooting. Trellising and pruning recommendations and harvest/storage guidance provided.",success,2025-12-24 11:21:55
Tomatoes,Solanum lycopersicum,Verona F1,JS,12/21/2025,1 packet,warm,medium-high,,transplant,50,80,1,0.5,,5,15,"organic, paste",https://www.johnnyseeds.com/vegetables/tomatoes/paste-tomatoes/verona-organic-f1-tomato-seed-3811G.html,75–85°F (24–29°C),"1/4""",N/A,67 days,N/A,Transplant,,"24–36""",N/A,N/A,N/A,single,15,,"Similar to Juliet, but with even tastier, somewhat more plump, deep red ""cocktail plum"" fruits averaging 2 1/2 oz. Long clusters on a medium-vigorous vine. Indeterminate. USDA Certified Organic. Disease Resistance: Early Blight (Intermediate) Fusarium Wilt races 1 (High) Verticillium Wilt (High) Specs: Packet: 15 seeds Avg. 15,200 seeds/oz",success,2025-12-24 11:22:00
Peppers (Sweet),Capsicum chinense,Italian Pepperoncini,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,https://sandiegoseedcompany.com/product/vegetables/peppers/italian-pepperoncini-pepper-seeds/,65° F+,"1/4""",10-20+,70+,N/A,Transplant,"≥2"" apart","≥12"" apart",20' row,"30""","18-24""",single,35,,N/A,success,2025-12-24 11:21:32
Peppers (Sweet),Capsicum annuum,Yolo,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,https://sandiegoseedcompany.com/product/vegetables/peppers/yolo-pepper-seeds/,65° F+,"1/4""",10-20+,70+,21 days,Transplant,"≥2"" apart","≥12"" apart",15' row,"18-24""","12-24""",single,35,,N/A,success,2025-12-24 11:21:38
Peppers (Sweet),Helianthus annuus,Sweet Banana,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,https://sandiegoseedcompany.com/product/vegetables/peppers/sweet-banana-pepper-seeds/,70° F+,"1/4""",10-20+,65+,N/A,Transplant,"≥2"" apart","≥12"" apart",15' row,"36-50""","8-12""",single,35,,N/A,success,2025-12-24 11:21:37
Peppers (Sweet),Capsicum annuum,Orange Wonder Sweet Bell,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,organic,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-orange-wonder-sweet-bell-pepper-seeds/,70° F+,"1/4""",7-21+,75+,21 days,Transplant,"≥2"" apart","≥12"" apart",20' row,"18-24""","12-24""",single,35,,N/A,success,2025-12-24 11:21:37
Peppers (Sweet),Capsicum annuum,Jimmy Nardello Sweet,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,organic,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-jimmy-nardello-sweet-pepper-seeds/,65° F+,"1/4""",10-20+,70+,N/A,Transplant,"≥2"" apart","≥12"" apart",15' row,"18-24""","12-24""",single,35,,N/A,success,2025-12-24 11:21:38
Peppers (Sweet),Capsicum annuum,Huntington F1 Bell,JS,12/21/2025,1 packet,warm,medium,,transplant,60,90,1,0.67,,1,5,,https://www.johnnyseeds.com/vegetables/peppers/sweet-bell-peppers/huntington-f1-bell-pepper-seed-5262.html,80-90°F (27-32°C),"1/4""",N/A,66 green; 86 red ripe,N/A,Transplant,,"12-18""",N/A,N/A,N/A,single,25,,"Large smooth fruits are blocky to slightly elongated in shape. Medium-sized plants with an exceptional canopy to protect the fruits from sun scald. Performs well in California and the Pacific Northwest. Disease Resistance: Bacterial Leaf Spot races 1–3, 7–8 (High) Phytophthora Blight (Intermediate) Tobamovirus races 0 (High) Tomato Spotted Wilt Virus (Intermediate). Specs: Packet: 25 seeds; Avg. 60,300 seeds/lb.",success,2025-12-24 11:22:00
Peppers (Hot),Capsicum annuum,Jalapeno,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,organic,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-jalapeno-pepper-seeds/,70° F+,"1/4""",10-20+,70+,NA,Direct or transplant,"≥2"" apart","≥12"" apart",15' row,"18-24""","12-24""",single,35,,N/A,success,2025-12-24 11:21:33
Peppers (Hot),Capsicum annuum,Poblano,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,organic,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-poblano-pepper-seeds/,70° F+,"1/4""",10-20+,70+,NA,Transplant,"≥2"" apart","≥12"" apart",15' row,"18-24""","12-24""",single,35,,N/A,success,2025-12-24 11:22:06
Peppers (Hot),Capsicum annuum,Flaming Flare F1 Fresno,JS,12/21/2025,1 packet,warm,medium,,transplant,60,90,1,0.67,,1,5,,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/flaming-flare-f1-fresno-pepper-seed-3270.html,80-90°F (27-32°C),"1/4""",N/A,67 green; 77 red ripe,N/A,Transplant,,"12-18"" apart in rows 24-36"" apart",N/A,N/A,N/A,single,25,,"Conical-shaped fruits are thin walled, avg. 4"" long, and ripen to a bright red. Their flavor is sweet, mildly hot, and very good. Excellent for fresh use, stir fries, sautéing, and hot sauce. AAS Winner. Disease Resistance: Tobamovirus races 0 (High) Specs: Packet: 25 seeds Avg. 6,050 seeds/oz",success,2025-12-24 11:22:40
Peppers (Hot),Capsicum annuum,Sargento F1 Poblano,JS,12/21/2025,1 packet,warm,medium,,transplant,60,90,1,0.67,,1,5,,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/sargento-f1-poblano-pepper-seed-4752.html,80-90°F (27-32°C),"1/4""",N/A,65 green; 85 red ripe,N/A,Transplant,,"12-18"" apart",N/A,N/A,N/A,single,25,,"The 2 and 3-lobed fruits are smooth, shiny, and very dark green. Similar in appearance to Baron, but fruits average slightly larger at 5–6"" long x 3"" wide. Plants are tall, vigorous, and have an excellent yield potential. Disease Resistance: Phytophthora Blight (Intermediate) Specs: Packet: 25 seeds Avg. 54,900 seeds/lb",success,2025-12-24 11:22:35
Eggplant,Solanum melongena,Turkish Delight F1,JS,12/21/2025,1 packet,warm,medium-high,,transplant,60,85,1,0.5,,1,5,"organic, Asian - *shopper requested*",https://www.johnnyseeds.com/vegetables/eggplant/asian-eggplants/turkish-delight-organic-f1-eggplant-seed-4755G.html,80-90°F (27-32°C),"¼""",N/A,60 days,N/A,Transplant,"2-3"" apart","18-24""",N/A,N/A,N/A,single,25,,"A wonder in the kitchen: elongated shape and minimal seeds for quick cooking and rich flavor. Prolific yields of highly uniform, straight fruit; Avg. 8–10"" long; green calyx. Suitable for open-field and greenhouse production; popular in Turkey and the Middle East. Parthenocarpic; spineless; USDA Certified Organic. Culture: fertile, well-drained soil, pH 6.2-6.8. Sow indoors 6-8 weeks before planting; sow 4 seeds/in., ¼"" deep; maintain soil temperature at 80-90°F (27-32°C) until emergence and 70°F (21°C) thereafter (seed will not germinate in cool soil). After true leaves form, thin to 2-3"" apart in flats or transplant into 2-3"" pots. Harden off by reducing water and temperature to ~60°F (16°C) for about a week. Transplant outdoors late spring/early summer once weather is settled; space transplants 18"" apart in rows or 18-24"" between plants. Avoid over-fertility (excess N causes vegetative growth with poor fruit set). Crop maintenance: may be pruned and staked. Insect pests: use fabric row covers for flea beetles and Colorado potato beetles; inspect for CPB egg masses. Disease: practice lengthy rotation to avoid Verticillium wilt (4-5 year rotation for Solanaceae). Harvest by clipping stems; pick regularly to encourage production. Transplants: Avg. 800 plants/1,000 seeds. Seeds/oz.: 6,500–8,400 (avg. 7,300).",success,2025-12-24 11:22:42
Cucumber,Cucumis sativus,Marketmore 76,SDSC,,,warm,high,Mar–Aug,direct_sow,,55,1,0.5,,3,5,organic,https://sandiegoseedcompany.com/product/vegetables/cucumbers/organic-marketmore-76-cucumber-seeds/,60º F+,"1/2""",3-10+,58+,21 days,Direct or transplant,"≥1"" apart","≥6"" apart",8' row,"10-12""","24-36""",single,18,,N/A,success,2025-12-24 11:22:07
Cucumber,Cucumis melo,Carosello Leccese,SDSC,,,warm,high,Mar–Aug,direct_sow,,55,1,0.5,,3,5,,https://sandiegoseedcompany.com/product/vegetables/cucumbers/carosello-leccese-cucumber-seeds/,60° F+,"1/2""",3-10+,60+,21 days,Direct or transplant,"≥1"" apart","≥6"" apart",10' row,"6-8""","24-36""",single,27,,N/A,success,2025-12-24 11:22:07
Cucumber,Cucumis sativus,The General F1,JS,12/21/2025,1 packet,warm,high,Mar–Aug,direct_sow,,55,1,0.5,,3,5,,https://www.johnnyseeds.com/vegetables/cucumbers/slicing-cucumbers/the-general-f1-cucumber-seed-2417.html,70°F (21°C) (direct seed),"1/2"" deep",N/A,52 days,N/A,either,"12"" apart","Transplant 12"" apart in rows 5–6' apart",N/A,N/A,N/A,single,30,,"Though bred for the South, The General has also performed well in our Maine trials. Dark fruits are uniform, attractive, and average 8–8 1/2"" long. Flavor is superior to most modern American slicing varieties. The gynoecious plants have a high yield potential. NOTE: This variety is gynoecious, which means it will not produce the male flowers required for pollination. Seeds of a pollenizer variety have been mixed into the seed packet at a rate of 10%. As such, it is necessary to plant all seeds in the packet to produce cucumber fruits. Also available treated. Disease Resistance: Cucumber Mosaic Virus (Intermediate) Powdery Mildew (Intermediate) Scab (High) Specs: Packet: 30 seeds Avg. 16,500 seeds/lb",success,2025-12-24 11:22:34
Cucumber,,Marketmore 76,JS,,,,,,,,,,,,,,,https://www.johnnyseeds.com/vegetables/cucumbers/slicing-cucumbers/marketmore-76-organic-cucumber-seed-336G.html,60+,,,,,,,,,,,,,,,,
Summer Squash / Zucchini,Cucurbita pepo,Golden Zucchini,SDSC,,,warm,medium-high,Mar–Aug,direct_sow,,50,1,0.33,,5,20,organic,https://sandiegoseedcompany.com/product/vegetables/squash/organic-golden-zucchini-summer-squash-seeds/,70° F+,"1""",3–10+,55+,30 days,Direct or transplant,Final spacing,"≥12"" apart",100' row,"12-18""","24-48""",single,15,,N/A,success,2025-12-24 11:22:06
Summer Squash / Zucchini,Cucurbita pepo,Prolific Yellow Straightneck,SDSC,,,warm,medium-high,Mar–Aug,direct_sow,,50,1,0.33,,5,20,organic,https://sandiegoseedcompany.com/product/vegetables/squash/organic-prolific-yellow-straightneck-summer-squash-seeds/,70° F+,"1""",3-10+,50+,30 days,Direct or transplant,Final spacing,"≥12"" apart",10' row,"12-18""","48-120""",single,13,,N/A,success,2025-12-24 11:22:02
Summer Squash / Zucchini,Cucurbita pepo,Dark Star Zucchini,SDSC,,,warm,medium-high,Mar–Aug,direct_sow,,50,1,0.33,,5,20,organic,https://sandiegoseedcompany.com/product/vegetables/squash/organic-dark-star-zucchini-seeds/,70° F+,"1""",3-10+,55+,30 days,Direct or transplant,Final spacing,"≥12"" apart",12' row,"12-18""","24-48""",single,12,,N/A,success,2025-12-24 11:22:06
Summer Squash / Zucchini,Cucurbita pepo,Yellow Crookneck,JS,,,warm,medium-high,Mar–Aug,direct_sow,,50,1,0.33,,5,20,organic,https://www.johnnyseeds.com/vegetables/squash/summer-squash/yellow-crookneck-organic-yellow-summer-squash-seed-2450.html,N/A,,N/A,58 days,N/A,Direct sow,,"18-24""",N/A,N/A,N/A,single,25,,"This traditional variety is well known for its buttery flavor and firm texture. Big plants are late to begin bearing, but then yield consistently over a long picking period. Best picked small, 4-5"" long; larger fruits will have a bumpy appearance. USDA Certified Organic. Culture: Fertile, well-drained soil with a pH of 5.8–6.8 is best. Plastic mulch and fabric row covers (AG-19 grade) can aide plant establishment and exclude insect pests during the seedling stage; row covers should be removed when plants begin to flower. Poor fruit development may indicate insufficient pollination. For highest quality fruit, succession plantings every 2-3 weeks may be needed. Plant spacing: Space plants 18-24"" apart in rows 6' apart; wider spacing may allow for easier harvesting. Diseases: Common cucurbit diseases include powdery mildew, downy mildew, bacterial wilt, and phytophthora—avoid problems with adequate soil drainage, good air flow, insect pest control, and crop rotation. Insect pests: Cucumber beetles, squash bugs, and vine borers are common; protect young plants with floating row cover. Control notes: squash bug eggs may be crushed by hand; for vine borers, cut out vines and hill soil over the wound; keep field borders mowed and remove plant refuse in the fall; pyrethrin sprays may offer some control. Harvest fruit regularly 2-3 times a week once plants produce; for summer squash harvest at about 4-6""; handle with care to avoid scratching fruits. Harvest blossoms in mid to late morning when fully open, clipping flowers 1-2"" below flower base; if a fruit crop is desired, harvest only male blossoms, leaving some to pollinate females. Storage: Keep fruit at 40-50°F (5-10°C), 95% relative humidity for up to 2 weeks. Days to maturity: from direct seeding (subtract about 14 days if transplanting). Seed specs: Packet: 25 seeds; Avg. 6,300 seeds/lb (details). Growing-info seed spec: SEEDS/LB: Yellow Summer: Avg. 5,500; PACKET: 25 seeds, sows 8'. AVG DIRECT SEEDING RATE: (at 3 seeds/ft., rows 6' apart) 250 seeds/83', 500 seeds/166', 1,000 seeds/333'.",success,2025-12-24 11:22:41
Summer Squash / Zucchini,Cucurbita pepo,Spineless Perfection F1 Zucchini,JS,12/21/2025,1 packet,warm,medium-high,Mar–Aug,direct_sow,,50,1,0.33,,5,20,,https://www.johnnyseeds.com/vegetables/squash/summer-squash/spineless-perfection-f1-zucchini-squash-seed-3854.html,N/A,,N/A,45 days,N/A,Direct sow,,"18-24""",N/A,N/A,N/A,single,25,,"Attractive, straight fruits are borne on a spineless open plant which makes harvesting easy. Multiple disease resistances keep the plants bearing over an extended period. Disease Resistance: Powdery Mildew (Intermediate) Watermelon Mosaic Virus (Intermediate) Zucchini Yellow Mosaic Virus (Intermediate) Specs: Packet: 25 seeds Avg. 3,000 seeds/lb",success,2025-12-24 11:22:24
Summer Squash / Zucchini,Cucurbita pepo,Golden Glory F1 Zucchini,JS,12/21/2025,1 packet,warm,medium-high,Mar–Aug,direct_sow,,50,1,0.33,,5,20,,https://www.johnnyseeds.com/vegetables/squash/summer-squash/golden-glory-f1-zucchini-squash-seed-3837.html,N/A,,N/A,50 days,N/A,either,,"18-24""",N/A,N/A,N/A,single,25,,"Open habit and few spines make it easy to harvest blemish-free fruit. Excellent disease resistance keeps the plant productive over a long season. Bright yellow fruits with solid green stems. Disease Resistance: Powdery Mildew (Intermediate) Watermelon Mosaic Virus (Intermediate) Zucchini Yellow Mosaic Virus (Intermediate) Specs: Packet: 25 seeds Avg. 4,500 seeds/lb",success,2025-12-24 11:22:25
Winter Squash,Cucurbita moschata,Waltham Butternut,SDSC,,,warm,medium,Apr–Jun,direct_sow,,100,1,0.17,,10,20,,https://sandiegoseedcompany.com/product/vegetables/squash/waltham-butternut-squash-seeds/,70° F+,"1""",3-10+,100+,30 days,Direct or transplant,Final spacing,"≥12"" apart",10' bed,"10-12""","4""",single,15,,N/A,success,2025-12-24 11:22:02
Winter Squash,Cucurbita maxima,Mambo F1 Kabocha,JS,12/21/2025,1 packet,warm,medium,Apr–Jun,direct_sow,,100,1,0.17,,10,20,organic,https://www.johnnyseeds.com/vegetables/squash/winter-squash/mambo-organic-f1-kabocha-squash-seed-4304G.html,N/A,"1/2-1""",N/A,95 days,N/A,either,Thin to 1 plant/container or cell,"small, 18-24""; medium, 24-36""; large, 36-48""; between-row: 6' (bush/short-vine) or 12' (long-vine)",N/A,N/A,N/A,single,30,,"Mambo moves to the same beat as Cha Cha, but their dance is not the same. Mambo displays notable improvements: higher yields; more uniform fruit; gorgeous darker color; and longer storage. Classic blocky buttercup shape but with no significant 'button' on the blossom end. Can be marketed as a buttercup or a kabocha. Stays dark green in storage. Developed by Johnny's Breeding Team. Avg. weight: 3–4 lb. USDA Certified Organic. Culture: Fertile, well-drained soil with a pH of 6.0–6.8 is best; plastic mulch and fabric row covers can aid establishment and exclude insect pests during the seedling stage (remove covers when plants begin to flower). Transplanting: Sow 2-3 seeds per 2"" container or plug flat about 3 weeks prior to transplanting; thin to 1 plant/container or cell and harden 4–7 days before transplanting. Direct seeding: Sow 2 seeds at appropriate spacing, 1/2-1"" deep; thin to 1 plant per spacing interval after seedlings are established. Diseases: Common cucurbit diseases include powdery mildew, downy mildew, bacterial wilt, and Phytophthora; avoid problems with adequate soil drainage, good air flow, insect pest control, and crop rotation. Insect pests: Cucumber beetles, squash bugs, and vine borers; protect young plants with floating row cover. Harvest: Fruits typically ready about 50-55 days after fruit set; harvest before hard frosts. Cure: Sun cure 5-7 days or cure indoors at 80-85°F/27-29°C with good ventilation. Storage: Store at 50-60°F/10-15°C, 50-70% RH; green varieties keep up to 4–5 months, Winter Sweet up to 6 months.",success,2025-12-24 11:22:42
Winter Squash,Cucurbita pepo,Honey Bear F1 Acorn,JS,12/21/2025,1 packet,warm,medium,Apr–Jun,direct_sow,,100,1,0.17,,10,20,,https://www.johnnyseeds.com/vegetables/squash/winter-squash/honey-bear-f1-acorn-squash-seed-689.html,N/A,"1/2-1""",N/A,85 days,N/A,either,1 plant per spacing interval,"18-24""",N/A,N/A,N/A,single,30,,"Just right for single servings when halved. Worthy of marketing by name. Semibush plant. Bred by the late Dr. Brent Loy at UNH. AAS Winner. Avg. weight: 1–1 1/4 lb. Disease Resistance: Powdery Mildew (Intermediate) Specs: Packet: 30 seeds Avg. 4,100 seeds/lb",success,2025-12-24 11:22:28
Winter Squash,Cucurbita moschata,Block Party F1 Butternut,JS,12/21/2025,1 packet,warm,medium,Apr–Jun,direct_sow,,100,1,0.17,,10,20,organic,https://www.johnnyseeds.com/vegetables/squash/winter-squash/block-party-organic-f1-butternut-squash-seed-4307G.html,N/A,"1/2-1"" deep",N/A,,N/A,either,Thin to 1 plant/container or cell with scissors.,"Bush to short-vine habits generally require 6' between-row spacing, while long-vine habits require 12' between-row spacing. In-row spacing depends on fruit size as well as vine length and is generally: small fruit/bush or short vine type: 18-24""; medium fruit and vine length: 24-36""; large fruit or long vine length: 36-48"".",N/A,N/A,N/A,single,30,,"We lovingly referred to Block Party as ‘Miracle' and ‘Saint Butternut' in our breeding nursery because it was just too good to be true. Both its yield and storage results were unbelievably high without compromising on flavor. We named it ‘Block Party' for its compact blocky shape—a great efficiency when packing CSA boxes. Its thick neck means less waste when preparing or processing and it has a good flesh to seed cavity ratio. A great advancement in our butternut assortment. Developed by Johnny's Breeding Team. Avg. 3 1/2–4 1/2 lb. USDA Certified Organic. Disease Resistance: Powdery Mildew (Intermediate) Specs: Packet: 30 seeds Avg. 5,500 seeds/lb",success,2025-12-24 11:22:47
Melons,Citrullus lanatus,Early Girl Watermelon,SDSC,,,warm,medium,Apr–Jun,direct_sow,,90,1,0.17,,,,,https://sandiegoseedcompany.com/product/fruit/melons/watermelon/early-girl-watermelon-seeds/,70° F+,"1/2""",5-10+,85+,21 days,Direct or transplant,Final spacing,"≥12"" apart",10' row,"8-18""","36-48""",single,15,,N/A,success,2025-12-24 11:22:07
Melons,Citrullus lanatus,Sugar Baby Watermelon,SDSC,,,warm,medium,Apr–Jun,direct_sow,,90,1,0.17,,,,organic,https://sandiegoseedcompany.com/product/fruit/melons/watermelon/organic-sugar-baby-watermelon-seeds/,60° F+,"1/2""",3-10+,80+,21 days,Direct or transplant,Final spacing,"≥12"" apart",10' row,"8-18""","96-120""",single,15,,N/A,success,2025-12-24 11:22:06
Melons,Cucumis melo,Golden Delicious Cantaloupe,SDSC,,,warm,medium,Apr–Jun,direct_sow,,90,1,0.17,,,,,https://sandiegoseedcompany.com/product/fruit/melons/golden-delicious-cantaloupe-seeds/,60° F+,"1/2""",3-10+,70+,NA,Transplant,"≥6"" apart","≥10"" apart",25' row,"12-15""","48""",single,53,,N/A,success,2025-12-24 11:22:06
Melons,Citrullus lanatus var. lanatus,Saniara F1 Watermelon,JS,,,warm,medium,Apr–Jun,direct_sow,,90,1,0.17,,,,seedless,https://www.johnnyseeds.com/vegetables/watermelons/triploid-watermelons-seedless/saniara-f1-watermelon-seed-5206.html,80–90°F (27–32°C),"½–1"" deep",N/A,82 days,N/A,either,"18"" apart",2–3' apart,N/A,N/A,N/A,single,15,,"Saniara produces high yields without sacrificing great flavor and sweetness. Nice internal color. Widely adapted plants handled stress well in our Maine trials. Avg. 11–15 1/2 lb. Disease Resistance: Fusarium Wilt (Intermediate) Specs: Packet: 15 seeds Avg. 8,300 seeds/lb",success,2025-12-24 11:23:16
Sweet Potatoes (Slips),Ipomoea batatas,Mahon Yam,JS,,,warm,medium,Late May,slips,,120,1,0.5,,2,3,"organic, slips",https://www.johnnyseeds.com/vegetables/sweet-potatoes/mahon-yam-organic-sweet-potato-slips-3200G.html,60°F (16°C),"3-4""",N/A,90 days,N/A,Transplant,,"10-18"" apart (rows 36-60"" apart)",N/A,N/A,N/A,slips,,,"A unique sweet potato with bright pink skin and deep-orange flesh. A clear favorite in Johnny's taste tests. Extra sweet. No need to add sugar when cooked. Very good yields of uniform, blunt-ended roots in a very concentrated set. Excellent storage potential when cured properly. An exclusive selection developed over 20+ years by organic grower John Mahon. Despite the name, this variety is a sweet potato, not a yam. Plant Patent #20,666. USDA Certified Organic. SCIENTIFIC NAME: Ipomoea batatas. CULTURE: Sweet potatoes grow best in well-drained, sandy loam soil with a pH of about 6.5. You will receive bare-root slips. The slips may be dry, wilted, pale or brown in color when they arrive—this is normal. Slips may or may not have visible roots. A lack of visible roots does not negatively impact viability or yield. If planting must be delayed, wrap the root end of the slips in moist paper towels, keeping the leaves and stems dry. Place upright and keep at room temp., out of direct sunlight and wind. Plant out as soon as danger of frost has passed, and soil temp. is at least 60°F (16°C). In cold regions, black plastic mulch may help to warm the soil and is recommended. Plant slips 3-4"" deep in raised beds 10-18"" apart in rows 36-60"" apart. Keep well-irrigated until plants are established. INSECT PESTS: Sweet potatoes are usually free from major insect infestations, but problems may arise from flea beetles, Japanese beetles, wireworms, and sweet potato weevils (in Southern US). DISEASE: Avoid diseases such as scurf with crop rotation and by removing all plant debris after harvest. HARVEST: Dig roots in fall before hard frost and before soil temps. drop to 50°F (10°C). If plants get frosted, harvest as soon as possible—frost damage will travel from the plants down into the roots, and affect storage quality. STORAGE: Brush soil from roots and cure in a warm 85°F (29°C), dark, humid (85% RH) and well-ventilated place for 4-7 days to toughen skin. Store at 60° (16°C), in a dark, humid place and avoid unnecessary handling.",success,2025-12-24 11:23:25
Sweet Potatoes (Slips),Ipomoea batatas,White Bonita,JS,,,warm,medium,Late May,slips,,110-115,,,,,,,https://www.johnnyseeds.com/vegetables/sweet-potatoes/white-bonita-organic-sweet-potato-slips-4046G.html,60°F (16°C),,,,,,,,,,,slips,,,,,
Beans (Bush),Phaseolus vulgaris,Calypso Bush,SDSC,,,warm,medium,Apr–Aug,direct_sow,,55,2,3,,0.5,1,,https://sandiegoseedcompany.com/product/vegetables/beans/calypso-bush-bean-seeds/,60° F+,"1""",3-10+,70+,10 days,Direct or transplant,Final spacing,"≥5"" apart",7' row,"18""","18""",single,18,,N/A,success,2025-12-24 11:22:53
Beans (Bush Mixed),Phaseolus vulgaris,So Cal Flavor Trio Bush,SDSC,,,warm,medium,Apr–Aug,direct_sow,,55,2,3,,0.5,1,,https://sandiegoseedcompany.com/product/vegetables/beans/so-cal-flavor-trio-bush-bean-seeds/,65° F+,"1/2""",3-10+,50+,10 days,Direct or transplant,Final spacing,"≥5"" apart",10' row,"18""","18""",single,30,,N/A,success,2025-12-24 11:22:49
Beans (Pole),Phaseolus vulgaris,Blue Lake Pole,SDSC,,,warm,medium,Apr–Aug,direct_sow,,65,1,2,,0.5,1,,https://sandiegoseedcompany.com/product/vegetables/beans/blue-lake-pole-bean-seeds/,60° F+,"1""",3-10+,70+,10 days,Direct or transplant,"≥3"" apart","≥7"" apart",13' bed,"72-108""","18""",single,23,,N/A,success,2025-12-24 11:22:53
Beans (Pole),Phaseolus vulgaris,Golden Pole,SDSC,,,warm,medium,Apr–Aug,direct_sow,,65,1,2,,0.5,1,,https://sandiegoseedcompany.com/product/vegetables/beans/golden-pole-bean-seeds/,60° F+,"1/2""",3-10+,60+,10 days,Direct or transplant,Final spacing,"≥5"" apart",10' row,"72-108""","18""",single,30,,N/A,success,2025-12-24 11:22:53
Fava Beans,Vicia faba,Fava Bean,SDSC,,,cool,medium,Oct–Dec,direct_sow,,100,2,1,,,,organic,https://sandiegoseedcompany.com/product/vegetables/beans/organic-fava-bean-seeds/,60° F+,"1""",10-20+,75+,10 days,Direct or transplant,Final spacing,"≥10"" apart",4' row,"48""","18""",single,8,,N/A,success,2025-12-24 11:22:49
Amaranth,Amaranthus,Orange Amaranth,SDSC,,,warm,low,Apr–Aug,direct_sow,,55,scattered,,16,,,organic,https://sandiegoseedcompany.com/product/vegetables/amaranth/organic-orange-amaranth-seeds/,70° F+,"1/16""",3-10+,75+,14 days,Direct or transplant,"≥3"" apart","≥12"" apart",10' row,"48""","12""",single,200,,N/A,success,2025-12-24 11:22:53
